,Unnamed: 0,Course_Name,Course_Description,Course_Soft_Skills,Course_Hard_Skills
135,135,Innovation and entrepreneurship internship,"aims to let students learn from industrial practical experience that complements the lecture learning and class activities. It aims at building up students’ own mindset and value through real life experience and mentored by the participating companies. It aims at developing students’ understanding of the challenge and solution in the entrepreneurial process, the practices of innovation, the strategic inter-relationship among Hong Kong and other cities in Greater Bay Area, and the global vision in the current economic atmosphere.","building up students' own mindset and value, real-life experience, mentoring.","learning from industrial practical experience, building students' mindset, real-life experience, mentoring, entrepreneurial process, innovation practices, strategic inter-relationship, global vision."
136,136,Introduction to business analytics,"covers both technical and managerial aspects to provide a basic understanding of business analytics and show how it can be used by businesses to analyze their competitive posture more effectively, know their customers better and make better managerial and strategic decisions.",,"technical aspects, managerial aspects, basic understanding of business analytics, analyzing competitive posture, knowing customers, making better managerial and strategic decisions."
137,137,Database management,"introduces the principles of design, development and administration of database management systems in business, considering the user, developer, and administrator points of view. Students will learn the basic concepts involved in the design and management of databases in business applications, including database architecture, entity-relationship modeling, database normalization, structured query language, and database administration. Students will also acquire hands-on experience in designing and developing simple databases",,"design, development, administration of database management systems, business applications, database architecture, entity-relationship modeling, database normalization, structured query language, database administration, designing and developing databases."
138,138,Information systems analysis and design,aims to develop an understanding of the concepts of systems analysis and design. Various system development methodologies will be elaborated and discussed. CASE tools will be used to illustrate how to construct a variety of system design documents,,"systems analysis, systems design, system development methodologies, constructing system design documents."
139,139,Project management,"focuses on the planning, scheduling, control, and evaluation of project management. The basic tools and techniques of project management will be explored, with special emphasis on engineering, management, and control of IS/IT related business projects. The evaluation of projects and project management will also be addressed, as will scope, time, cost, quality, human resources, communications, risk, and procurement.",,"project management, planning, scheduling, project control, project evaluation, basic tools and techniques, engineering of business projects, management of business projects, control of business projects, evaluation of business projects, scope, time, cost, quality, human resources, communications, risk, procurement."
140,140,Telecommunications management,"introduces telecommunications and computing networks used in the support of business activities. Topics include data, voice, image and communication technologies; networking and communication architectures; and protocols and standards",,"telecommunications, computing networks, support of business activities, data technologies, voice technologies, image technologies, communication technologies, networking architectures, communication architectures, protocols, standards."
141,141,Creativity and business innovation,"aims to put students in a lateral mind-set where they can challenge the conventional wisdom to think creatively, see the unseen to uncover opportunities, and explore the trade-offs involved in managerial decisions to design elegant and articulated solutions.","creativity, critical thinking, problem-solving, decision-making.",
142,142,Business transformation,"builds on chaos theory to provide a roadmap for managers planning to transform their companies into an inter-networked enterprise where shared infrastructures are used to link customers, suppliers, partners and employees to create superior economic value. It covers business strategy, infrastructure, process management, and integration and implementation",,"business strategy, infrastructure management, process management, integration, and implementation."
143,143,Design thinking,"concepts and applications: Design methodology is closely related to the innovation process within different business contexts. This course aims to develop students’ design mentality and skillsets through idea conceptualisation, concept development, process, implementation, and project planning and management.","creativity, problem-solving, project planning, and management.","design methodology, idea conceptualization, concept development, process design, implementation planning, and project management."
144,144,Design studio,"get students to think and work through a comprehensive process in their hands-on projects. While striving to achieve business and social goals, students will be trained to utilize the hybrid viewpoints of analysts and creative designers to evaluate the nature of projects, their functions, and short-term and long-term impacts on different stakeholders","critical thinking, problem-solving, creativity, teamwork, stakeholder engagement.",
145,145,Values-driven innovation,"provides a platform for critical rethinking of the role of business in creating both business value and social values. It examines the business building blocks to explore win-win situations where economic success and societal benefits co-exist through innovative thinking and solutions, taking into account related trade-offs. Students will learn how to design businesses that can respond to increasing demands for a fairer and better society, a greener environment and greater work-life balance, whilst reducing costs, building customer loyalty, and attracting and retaining talents, thus creating long-lasting value","critical thinking, innovative thinking, problem-solving, creativity, and designing solutions that take into account related trade-offs.","business strategy, cost reduction, and customer loyalty building."
146,146,Venture and entrepreneurship management,"provides an overview of venture management in innovation development and commercialization for those who believe they have what it takes to build new businesses and ventures. The students will strengthen their know-how through listening and engaging in discussions, with guest speakers, through local and international business cases, and venturing","listening, communication, and engagement in discussions.","venture management, innovation development, commercialization planning, and know-how development."
147,147,Operations management,"Students will learn process analysis, management of process variability and its impact, process improvement with statistical tools, and applications in lean operations, using case discussion, in-class interactions, and hands-on projects.",,"process analysis, process variability management, process improvement using statistical tools, and lean operations application."
148,148,Decision and risk analysis I,"covers the tools and the skills to analyze and solve problems by stressing approaches to 1) understand and question assumptions, 2) consider a richer set of solution alternatives, and 3) consider diverse measures of performance.",critical thinking and problem-solving.,"problem analysis, solution generation, and performance measurement."
149,149,Decision and risk analysis II,"introduces sophisticated quantitative models and advanced tools such as discrete and continuous time Markov chains, renewal processes and other stochastic models to capture randomness in business processes. Students are expected to learn these mathematical models through lectures, skill-building exercises and qualitative class discussions",,"advanced quantitative modeling, discrete and continuous time Markov chains, renewal processes, stochastic modeling, and mathematical modeling."
150,150,Introduction to financial analytics,"provides introduction to analytics used in quantitative finance and aims at equipping students with basic analytical knowledge and practical skills in solving investment and risk management problems. The course content is organized by main financial instruments: fixed-income securities, stocks, and financial derivatives; fundamental analytics for each instrument type will be taught. Implementation (e.g., fitting interest rate term structures, portfolio construction, pricing options by simulation, etc.) by developing analytics in spreadsheet/VBA or Python with financial data will also be emphasized",,"analytics for quantitative finance, investment problem solving, risk management, understanding fixed-income securities, stocks and financial derivatives, portfolio construction, developing analytics in spreadsheet/VBA or Python with financial data."
151,151,Managing and mining big data,"provides a broad introduction to big data, including fundamental concepts and basic techniques for data acquisition and aggregation, state-of-the-art algorithms for data analysis, and technologies on modern computing platforms and systems for handling big data",,"data acquisition and aggregation, data analysis algorithms, and technologies on modern computing platforms and systems for handling big data."
152,152,Data visualization and visual analytics,"shows you how to better understand your data, present clear evidence of your findings to your intended audience, and tell engaging data stories that clearly depict the points you want to make all through data graphics. The skills learned in this course offer enormous value for creatives, educators, entrepreneurs, and business leaders in a variety of industries.","presenting and communicating data effectively, storytelling through data graphics, and offering value to creatives, educators, entrepreneurs and business leaders.",
153,153,Decision support and expert systems,"Topics include decision support systems, group support systems, electronic meeting systems, artificial intelligence, expert systems, and neural networks. Both technical and managerial issues related to the development and implementation of decision support systems will be discussed.",,"development and implementation of decision support systems, technical and managerial knowledge in Decision support systems, artificial intelligence, electronic meeting systems, expert systems, and neural networks."
154,154,Advanced database management,"The first part covers advanced database concepts such as views, triggers, stored procedures, SQL*Plus, database administration and performance tuning. The second part examines various techniques in data mining such as decision trees, neural networks, and clustering. Students will learn about the applications of these techniques in business.",,"advanced database concepts such as views, triggers, stored procedures, SQL*Plus, database administration, and performance tuning, data mining techniques including decision trees, neural networks, and clustering, along with their applications in business."
155,155,Internet and mobile applications,"learn how to develop Internet-based and mobile business applications using the resources, tools and services available on the Internet. Topics include HTML, Java applets, HTTP and CGI, JavaScript, Java Servlets and JSP, PHP, ASP, Web spiders and search engines, and mobile applications.",,"developing internet-based and mobile business applications, knowledge of HTML, Java applets, HTTP, CGI, JavaScript, Java Servlets and JSP, PHP, ASP, Web spiders, search engines, and mobile applications."
156,156,Telecommunications policy,provides an overview of recent developments of the telecommunications industry in Hong Kong and around the Asia-Pacific. Telecommunications infrastructure policies introduced by respective governments in the region and the impacts of these policies on business operations will also be examined,,
157,157,Information systems security management,"Topics to be covered include security policy, information security management, information technology governance, risk assessment and management, and security control.",,"Security policy, information security management, information technology governance, risk assessment and management, and security control knowledge."
158,158,Current topics in information systems,"discusses contemporary issues in information systems, including emerging technologies and the ways they affect businesses",,
159,159,Information systems strategy,examines various issues related to the management of information systems in organisations. The link between information systems planning and business strategy will be explored to see how companies can use information systems not only to support their daily operations but also to sustain and enhance their strategic advantage,,"management of information systems in organizations, exploration of the link between information systems planning and business strategy, using information systems for supporting daily operations and to sustain strategic advantage."
160,160,Multimedia applications development,"introduces various technologies and methods used in the design and development of multimedia applications in digital media industry. Students will learn how to develop interactive multimedia applications that use audio/video and 2D and 3D graphics. Related concepts including human-computer interaction, graphics design, and managing multimedia projects will also be covered.",managing multimedia projects.,"design and development of multimedia applications, development of interactive multimedia applications using audio/video, 2D and 3D graphics, knowledge of human-computer interaction, and graphics design."
161,161,Supply chain management,"focuses on the systems approach to planning, analysis, design, development, and management of supply chain. Using cases and real-life projects, students will learn how to use appropriate information technologies to synchronize supply chain processes, thus reduce costs and improve service",,"planning, analysis, design, development, management, information technologies."
162,162,IT and entrepreneurship,"introduces students to the core concepts of entrepreneurship with a special emphasis on entrepreneurial settings involving the use of information technology. Students will be exposed to the key processes, challenges, risks and rewards of starting up an entrepreneurial business. They will also learn to apply the concepts and knowledge learned in the course to develop a business plan that could be presented to potential investors and venture capitalists",,"entrepreneurship, information technology, business development, and planning."
163,163,Enterprise resources planning systems,"e provides an overview of enterprise resource planning systems and their use in the business environment. Topics include business processes management, functions and data requirements, and systems implementation and integration",,"enterprise resource planning, business processes management, data requirements, systems implementation, and integration."
164,164,Web and social media technology,"explores the emerging and revolutionizing role of the World Wide Web for marketing practice. A number of techniques for advertising over the Internet will be introduced. Students will explore the potential of advertising through Web technologies such as blog marketing, social media marketing and advertising, search engine marketing, search engine optimisation, email marketing, usability testing and website measurement",,"marketing, advertising, Internet advertising techniques, blog marketing, social media marketing, search engine marketing, search engine optimization, email marketing, website usability testing, and website measurement."
165,165,e-Commerce,focuses on business opportunities brought about by the Internet. Students will learn how to use web-based technologies to set up a business.,,"internet commerce, web development, and business development."
166,166,Information systems audit and control,"designed to provide an overview of computer information systems auditing and control, and their application in the business environment. It is intended for general business students. Topics include the information systems audit process, information technology governance, systems and infrastructure lifecycle management, information systems auditing methodology and information security policy, information technology service delivery and support, computer-assisted audit tools and techniques, protection of information assets, as well as disaster recovery and business continuity planning",,"computer information systems auditing, control, information technology governance, systems management, auditing methodology, information security policy, computer-assisted audit tools, protection of information assets, disaster recovery, and business continuity planning."
167,167,Artificial intelligence in business,"e focuses on the fundamentals of artificial intelligence (AI), with emphasis on business applications. Students will gain hands-on experience in developing and using different AI tools to solve real-world business problems. Topics include AI algorithms, intelligent agents, document management, expert systems, and data mining",,"artificial intelligence (AI), AI algorithms, intelligent agents, document management, expert systems, and data mining."
168,168,Information systems practicum,"provides a practical platform for students to apply their information systems knowledge in the real world. Under the supervision of a company executive and a professor, students will work in a company on a full-time basis for a minimum continuous period of six months",,"information systems knowledge, practical application, and work experience."
169,169,Information systems project management,"examines the concepts, techniques, and activities related to information systems development projects. Teams of students will carry out projects that span the entire information systems analysis and design life cycle, including planning and scheduling, cost estimation, risk analysis, team organisation, process management and quality assurance","team organization, process management, and quality assurance.","information systems development, project management, planning, scheduling, cost estimation, risk analysis, team organization, process management, and quality assurance."
170,170,Digital innovation,"teach students how to create innovation-driven business model through both process innovation and product innovation. The focus is on businesses that are technology innovation driven. The course contents will cover disruptive technologies, cross-channel business model development, mobilization of networked business, canvas drawing, social media-based product and marketing innovation, etc. In particular, students will learn how to identify technology innovation opportunities and manage innovation process. The students can appreciate the value of IT ecosystems andplatformbased business operations.",,"business modeling, process innovation, product innovation, disruptive technologies, networked business, social media-based innovation, managing innovation processes, and platform-based business operations."
171,171,Business case analysis and presentation,"provide students with the requisite knowledge, skills and tools to prepare, present and write up business case studies for both academic and business use. The skills gained will also prepare students for participation in (international) case competitions. Students will work in rotating groups and will have to prepare and present cases following the format used in various global case competitions. Students also will have to submit individual case reports",,"preparing, presenting, and writing up business case studies, as well as following the format used in global case competitions."
172,172,Cross-cultural management,"provide students with a solid basis for developing such cultural competencies, so they can understand the challenges that might occur while working abroad and the principles of effective cross-cultural management. The course aims to develop an understanding of key cultural differences, and how these differences influence the management of individuals, teams, and organisations.","developing cultural competencies, understanding challenges, and effective cross-cultural management.",
173,173,Organisational behaviour,"A course on the concepts and key research findings which can help us to understand human behaviour in organisations. Topics include motivation, leadership theory, group dynamics, morale, communications, control techniques and organisational culture.","communications, leadership theory, group dynamics, and morale.",
174,174,Principles of entrepreneurship,"equips students with the essential elements of entrepreneurship manifested in the issues, challenges and rewards of creating a new business. The process in creating a start-up company, indeed, the process of an entrepreneurial undertaking, will be examined, discussed and practiced in class in order to provide students with some first-hand knowledge and experience in the subject matter","the ability to navigate issues, challenges, and rewards of creating a new business, as well as gaining first-hand knowledge and experience in entrepreneurship.",understanding the essential elements of entrepreneurship and the process of creating a start-up company.
175,175,Storytelling,"global business communication: aims at developing students’ business storytelling skills through the study of speeches, commercials, and other organisational narratives from around the world. By reflecting on the importance of storytelling in management, this course will help students become better leaders",developing business storytelling skills and becoming better leaders through reflection.,
176,176,The European business environment,"European business culture through an interdisciplinary approach: (1) History and Geopolitics: to understand how the European Union came to be and its development; (2) Sociology: to examine different issues, such as cultural identities, politics, and ethics in the European context and their impact on business relationships; and (3) Management: to analyse practical issues in a European context","the ability to understand cultural identities and politics, as well as analyzing practical issues in a European context.",analyzing practical issues in a European context.
177,177,Employment and labour relations,"give an overview on the fundamentals of labour relations theories pertaining to trade unionism, collective bargaining and workplace labour-management relations. Particular attention is also given to the development of the labour market, employment pattern and labour law in Hong Kong.",,"understanding the fundamentals of labour relations theories, trade unionism, collective bargaining, and workplace labour-management relations, as well as the development of the labour market, employment pattern and labour law in Hong Kong."
178,178,Strategic human resources management,look at the basic concepts of human resources management (HRM) and its application to Hong Kong. Emphasis will be placed on the strategic linkage between HRM and corporate management in the context of business change and re-structuring. Comparative references will also be made to practices in other industrial societies.,,"understanding the basic concepts of HRM and its application to Hong Kong, as well as the strategic linkage between HRM and corporate management in the context of business change and re-structuring, and making comparative references to practices in other industrial societies."
179,179,Organisational change and development,"explore the problems and issues involved in the management of organisational change and development. Major approaches and attempts to conceptualise the phenomenon will be examined in a critical manner. Particular attention will be paid to problems arising from company formation, entrepreneurial ventures, company expansion and growth, maturity and bureaucratisation, corporate failure and recovery",,"examining major approaches to conceptualizing organizational change and development, as well as paying particular attention to problems arising from company formation, entrepreneurial ventures, and corporate failure and recovery."
180,180,Human resources,"theory and practice: The management of human capital, or human resources, has the potential to be the source of competitive advantage in high-performance organizations. This course serves as an overview of the fundamentals of human resource management",,Hard skills mentioned includes understanding the fundamentals of human resource management as a potential source of competitive advantage in high-performance organizations.
181,181,Production and operations,A course to introduce a systems-oriented view of production and operations management,,"Systems-oriented view, Production management, Operations management."
182,182,Applied organisation,"Topics includemanagement structures of control and co-ordination, high-commitment work systems, design of compensation systems, virtual organisation and the use of IT, organisational learning, organisational change, organisation for cultural synergy, and organisation of international companies",,"Management structures, Co-ordination, Work systems, Compensation systems design, Virtual organization, IT use, Organizational Learning, Organizational Change, Cultural Synergy, and International Organization."
183,183,High-performance work systems,"examines the principles and practice of designing and operating systems of work that combine the optimum use of technology with high performance and motivation. Topics include socio-technical systemsanalysis, teamwork and networking.","Teamwork, Networking.","Designing and operating systems of work, Optimum use of technology, High performance, Socio-technical systems analysis."
184,184,Human resource planning and career management,"aims to provide an understanding of how the demand and supply of human resources can be brought into balance, and people already in employment can be helped to develop in their work careers. Topics covered include appraisal, counselling, development and training, and career planning. Ways in which HRM managers can facilitate organisational learning are also examined","Appraisal, Counselling, Development and training, Career planning.","Understanding demand and supply of human resources, HRM, Appraisal, Counselling, Development and training, Career planning."
185,185,Leadership workshop,"provide students with knowledge in leadership theories, models and frameworks, with opportunities to experiment with natural and new leadership behaviour in a simulated context. Having gone through these processes in a collective, multi-staged exercise, there will be opportunity for reflection, sharing of experience and integration of practice with theories, in the presence of facilitators","Leadership, Reflection, Sharing of experience, Integration of practice.",
186,186,Reward and compensation,"addresses the design of reward and compensation systems and the contribution they can make to the attainment of an organisation’s strategic objectives. Among the specific techniques covered are job evaluation, design of incentives, performance-related pay, and non-monetary rewards.",,"job evaluation, design of incentives, performance-related pay, and non-monetary rewards."
187,187,Team building programme,"explore key aspects of group dynamics through a process of experiential learning. The aspects that we shall be considering include leadership and communication, planning and organising, decision-making and problem solving, and trust and team building in the context of business and management. The activities you will undertake consist of a series of problems to be resolved through the combined efforts of your group members","leadership, communication, planning and organising, decision-making, problem-solving, trust, and team building.",
188,188,Current topics in human resource management,"focuses on current topics in managing a firm's human resource management functions. In depth classroom discussion, management cases and applied business projects will be emphasised",,
189,189,Managing organisational chang,Business organisations face unprecedented challenges today and managing change has become a crucial factor in their survival and performance. This course introduces the specialised topic of organisational change management. It provides students with an understanding of how organisational change is initiated and sustained.,,"organisational change management, understanding how organisational change is initiated and sustained."
190,190,Selections and training,"focus on the basic concepts of selections and recruitment, training and development of different employees, and human resources utility analysis. In particular, students will be exposed to different recruiting processes and the whole spectrum of training and development techniques, and how they can add value to business success",,"understanding of basic concepts of selections and recruitment, knowledge of processes involved in employee training and development, expertise in human resources utility analysis."
191,191,Compensation and benefit,"focus on the basic concepts of pay and compensation policies for different employees. In particular, students will be exposed to fundamental pay and benefits administration, along with the importance of rewards and their impact on employee attraction, motivation and retention","importance of rewards and their impact on employee attraction, motivation and retention.",pay and benefits administration.
192,192,Consumer behaviou,"emphasizes on theoretical understanding of consumer psychology and applications to the development of marketing strategy. Specific consumer trends and new tools for consumer insights will also be integrated in class discussion. Students will be provided opportunities to apply the learned concepts and tools to marketing situations through class discussions, case studies, and group project","application of learned concepts and tools to marketing situations through class discussions, case studies, and group project.",theoretical understanding of consumer psychology and its application to the development of marketing strategy; knowledge of specific consumer trends and new tools for consumer insights.
193,193,Marketing researc,"cover the broad principles of marketing research. Emphasis will be placed on the use of marketing research as an aid to decision making. In this spirit, students will be introduced to a variety of types of marketing research data. Students will be given the opportunity to engage in practical marketing research-based exercises.",engagement in practical marketing research-based exercises.,broad principles of marketing research; knowledge of various types of marketing research data; ability to use marketing research as an aid to decision making.
194,194,Advertising management,"cover the theories, applications, and issues related to advertising management. Attention will be paid to the process of advertising management, creative and message strategies, traditional and digital creative tools, media planning and analysis, and evaluation of advertising effectiveness.",,"knowledge of advertising management theories, applications, and issues; understanding of the process of advertising management; ability to develop creative and message strategies; knowledge of traditional and digital creative tools; ability to plan and analyze media; ability to evaluate advertising effectiveness."
195,195,Brand management,"Through theories, examples, cases, and class discussions, students will learn to think more logically, creatively, and critically about the strategies involved in identifying, developing, managing, and growing brand equity","ability to think more logically, creatively, and critically about branding strategies through theories, examples, cases, and class discussions.",
196,196,Consumer insights for marketing decisions,"focuses on current topics in managing a firm’s marketing functions. Organised along a seminar mode, students will explore real life experiences and exposures to firms, together with in-depth intellectual challenges, through classroom discussion, the study of management cases and applied business projects.","exploration of real-life experiences and exposures to firms, in-depth intellectual challenges, classroom discussion, the study of management cases, and applied business projects.",
197,197,Retailing,"explore the problems and issues involved in the management of quality improvement and market competition. Emphasis will be on the strategic aspects of quality and marketing management, in particular customer value, quality improvement tools, quality concepts, and the relationship of quality with different aspects of marketing management",,management of quality improvement and market competition; strategic aspects of quality and marketing management; knowledge of customer value; understanding of quality improvement tools and concepts; understanding of the relationship between quality and different aspects of marketing management.
198,198,Marketing in China,"focus on selected topics that are of salience to managing firm marketing strategies and operations in Mainland China or Hong Kong. It may include but is not restricted to contemporary marketing issues related to branding, new product development, marketing hightechnology products and customer relationship management",,"knowledge of managing firm marketing strategies and operations in Mainland China or Hong Kong; understanding of contemporary marketing issues related to branding, new product development, marketing high-technology products, and customer relationship management."
199,199,Global marketing,"shows how the basic principles of marketing can be applied to marketing problems across national boundaries and within foreign countries. Attention is paid to the development of global marketing strategies and to the different approaches needed to market consumer items, industrial goods and services internationally",,"understanding of how basic marketing principles can be applied to marketing problems across national boundaries and within foreign countries; ability to develop global marketing strategies; knowledge of different approaches needed to market consumer items, industrial goods, and services internationally."
200,200,Digital marketing,"Substantive topics include: search advertising, social network analysis, data analytics, and human mobility. Lectures, discussions, live data-analysis demonstrations, class data exercises, video pieces, and student-led project presentations are major class components.",,"knowledge of search advertising, social network analysis, data analytics, and human mobility; ability to analyze data live and through class data exercises; ability to present student-led projects."
201,201,Services marketing,"examines the characteristics of service organisations and how this affects their approach to marketing. Issues in the three dimensions of internal marketing, transactional marketing and external marketing are examined, and the role of research analysed. Attention is paid to service culture and service value and problems are illustrated by examples from Asian, American and European service firms.",,
202,202,Innovation and new product development,"aims to help students gain an overall understanding of how to develop and manage innovations and new products. The course introduces theories of diffusion of innovations, determinants of successful and unsuccessful new products, and consumer perceptions of innovations and new products at different levels of innovativeness. Building on these theoretical perspectives, the course further introduces a systematic new product development (NPD) process from idea generation to commercialization and analyzes how the NPD process should be adapted according to different levels of product innovativeness",,"developing and managing innovations and new products, theories of diffusion of innovations, determinants of successful and unsuccessful new products, quantitative data analysis, systematic new product development (NPD) process, commercialization of products."
203,203,Pricing strategies,"covers both the economic theories of pricing, and the analytical tools for formulating effective pricing strategy. This course also discusses commonly used pricing tactics, including some of the newest pricing practices. The course is highly applied, and prepares students for pursuing a career in marketing, consulting, and finance","formulation of effective pricing strategy, marketing, consulting, and finance career preparation.","economic theory of pricing, analytical tools for formulating pricing strategy, pricing tactics, pricing practices, marketing, consulting, finance."
204,204,Marketing analytics,"about collecting and analyzing secondary data. The focus of this course is on understanding the popular data structure, analyzing data and making sense of the results. We will focus on understanding data relevant to marketers, the types of data available, different designs or methods of data collection and analysis",,"collecting and analyzing secondary data, understanding popular data structure, analyzing data, interpreting results, understanding data relevant to marketers, types of data available, different designs or methods of data collection and analysis."
205,205,Social media marketing,"will help students understand social media marketing from three perspectives—principles, applications and strategies. Social media and network theory, popular social media strategies, and data analytic tools will be introduced. Upon completing this course, students will be equipped with the knowledge and master skills which are essential to analyze, build, and manage real-world social media marketing campaigns.","analysis, building, and management of real-world social media marketing campaigns.","understanding social media marketing principles, applications, and strategies, social media and network theory, popular social media strategies, data analytics tools, analyzing, building, and managing real-world social media marketing campaigns."
206,206,Big data marketing,"exposes students to essential tools including data visualization, exploratory data analysis, as well as regression methods that can be used to convert raw data into marketing insights. For example, these tools will be used to investigate the impact of marketing activity on aggregate data (e.g., sales) and on individual-level choice data (e.g., brand choices)",,"data visualization, exploratory data analysis, regression methods, converting raw data into marketing insights, investigating the impact of marketing activity on aggregate data and individual-level choice data."
207,207,Strategic marketing management,aimed to provide advanced undergraduate students with knowledge and experience for the design of effective marketing strategies from a general management perspective. It examines the marketing management concepts underlying both consumer and industrial marketing strategy and tactics. Strategic marketing focuses on the concepts and processes involved in developing marketdriven strategies,,"designing effective marketing strategies, marketing management concepts, consumer marketing strategy, industrial marketing strategy, market-driven strategies, strategic marketing concepts and processes."
208,208,Platform business models and the sharing economy,"focuses on marketing strategies and emerging issues in platform business models and the sharing economy. It covers the special features, pricing, customer acquisition and management, trust building, ecosystem and governance of such business models",,"marketing strategies, platform business models, sharing economy, special features of business models, pricing strategies, customer acquisition and management, trust building, ecosystem and governance of businesses."
209,209,International business environment,"helps you to understand the macroeconomic environments of international businesses. The course examines recent issues and trends in globalization through the lens of economic theories in international trade, political economy and macroeconomics. In particular, we will explore the origins of the recent rise of protectionism and populism in the US and Europe, the macroeconomic consequences of financial globalization and crises, and the challenges and opportunities of international migration. Combining economic analyses and case studies, we further examine the implications of these issues on the aggregate economy as well as on individual companies",,"understanding macroeconomic environments, economic theories in international trade, political economy, and macroeconomics, recent issues and trends in globalization, analyzing the origins of the rise of protectionism and populism, analyzing macroeconomic consequences of financial globalization and crises, analyzing challenges and opportunities of international migration, combining economic analyses and case studies, examining implications of macroeconomic issues on aggregate economy and individual companies."
210,210,Multinational corporations,studies the multinational enterprise (MNE) and the theoretical approaches that have been formulated to explain the growth and operation of this form of business on an international scale. Recent general theories will be considered in a critical manner to allow judgments to be made on their strengths and limitations,,"studying multinational enterprises, theoretical approaches to explain growth and operation of MNEs, critical analysis of recent general theories, making judgments on the strengths and limitations of these theories."
211,211,China’s business environment,"introduces theoretical frameworks for analysing culture in general and specifically for understanding Chinese business culture. Central themes throughout the course include Chinese corporate culture, culture factors embedded in business practices, and business culture reflected through films and TV shows. The course also includes an introduction to culture comparison and an in-depth discussion on exploring similarities and differences in business culture between China and other countries.",,"analyzing culture, understanding Chinese business culture, introduction to culture comparison, exploring similarities and differences in business culture"
212,212,A century of business in Hong Kong,"taught in a series of lectures and tutorials, will explore the trajectory of European and Chinese business from the opening of Hong Kong as a free port in 1841 until the handover in 1997, complementing approaches of economic, social and political history.","complementing approaches of economic, social and political history. (no soft skills mentioned)","exploring the trajectory of European and Chinese business, complementing approaches of economic, social, and political history."
213,213,Applications of strategic thinking in business,"introduce basic concepts and principles of game theory and their applications to a variety of real life business situations. The major contents include Prisoners’ Dilemma and dominant strategies, simultaneous games and Nash equilibrium, randomised strategies, sequential games and backward induction, games under imperfect information, and repeated games and cooperation",,"introducing basic concepts and principles of game theory, applying them to real-life business situations, understanding prisoner's dilemma and dominant strategies, understanding simultaneous games and Nash equilibrium, understanding randomised strategies, understanding sequential games and backward induction, understanding games under imperfect information, and understanding repeated games and cooperation."
214,214,Competitiveness of Chinese firms,"focus on the competitiveness of the economy and industries of Mainland China and examine China’s competitiveness on a regional, industry and activity basis. Globalisation and China’s accession to WTO have presented unprecedented opportunities and challenges for China’s economy and industries. As such, China’s position in the world economic system and its ability to move up the value-added ladder is critical to its sustainable economic development. Given Hong Kong’s close links to the economy of the Chinese Mainland, China’s economic future will heavily influence that of every industry in Hong Kong.","examine China's competitiveness on a regional, industry, and activity basis (no soft skills mentioned).","examining China's competitiveness on a regional, industry, and activity basis, assessing China's position in the world economic system, identifying opportunities and challenges presented by globalization and China's accession to WTO, and understanding the importance of China's ability to move up the value-added ladder for its sustainable economic development."
215,215,Strategic management,focus on the analytical and managerial tasks involved in developing strategies that create value by satisfying customer demands and stakeholders’ interests in an ever-changing competitive landscape. Successful business policies require a detailed understanding of the overall environment of which the firm is a part as well as the ability to create value in order to serve customers in the face of competition,,"developing strategies that create value, satisfying customer demands and stakeholders' interests, analyzing the overall environment of which the firm is part, and creating value to serve customers in the face of competition."
216,216,Global corporate strategy,will highlight the criticality of making profound decisions about the right pathways to firm growth. It will provide theoretical framework and guiding principles for analysing practical problems at the corporate or group level as experienced by managers.,highlighting the criticality of making profound decisions about the right pathways to firm growth (no soft skills mentioned).,"highlighting the criticality of making profound decisions about the right pathways to firm growth, providing a theoretical framework for analyzing practical problems at the corporate or group level as experienced by managers, and guiding principles for such analysis."
217,217,Business in Latin America,"t providing students with a profound understanding of the Latin American business environment, preparing them for a career in international business. The course will address the issues, opportunities and complexities that are associated with doing business in Latin America or with Latin American firms",preparing students for a career in international business (no soft skills mentioned).,"providing a profound understanding of the Latin American business environment, preparing for a career in international business, addressing issues, opportunities, and complexities associated with doing business in Latin America and with Latin American firms."
